codigo_barra;nome;nome_fabricante;descricao_categoria;nome_tamanho;nome_cor;cod_ncm;dsc_forma_aquisicao;dsc_origem_mercadoria;dsc_tipo_tributacao_ipi;dsc_unidade_medida
181652010453;NO3 BEEF ARNOLD NUTRITION;ARNOLD NUTRITION;VASODILATADOR;100 tabs;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
181652000638;NOX12 - ARNOLD NUTRITION;ARNOLD NUTRITION;PRE TREINO;90 tabs;;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
181652011948;NOXI FUSION - FRUIT PUNCH CANDY;ARNOLD NUTRITION;;1100G;FRUIT PUNCH CANDY;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
181652011993;NOXI FUSION EXPLODE - FRUIT BLAST FLAVOR FLAVOR;ARNOLD NUTRITION;PRE TREINO;500g;FRUIT BLAST;21069030;;Nacional;;
181652013003;NOXI FUSION EXPLODE - GRAPE;ARNOLD NUTRITION;;500g;GRAPE;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
181652013096;NOXI FUSION EXPLODE - ORANGE BLAST FLAVOR;ARNOLD NUTRITION;;500g;ORANGE FLAVOR;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
181652011795;OXYLINPRO 150G - ARNOLD;ARNOLD NUTRITION;TERMOGENICO;150g;MORANGO;21069030;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Opera̤̣o;UN
7899621101097;100% PURE WHEY ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621101110;100% PURE WHEY ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621101103;100% PURE WHEY ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;COOKIES;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621101127;100% PURE WHEY ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225524271;4WHEY TECH ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621100625;4WHEY TECH ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;COOKIES;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225524301;4WHEY TECH E BANANA ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225528767;AFTER HD ATLHETICA;ATLHETICA;GLUTAMINA;252g;MOR C/ MARACUJ́;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225522741;ALBUMIN PROTEIN ATLHETICA;ATLHETICA;ALBUMINA;500g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225522758;ALBUMIN PROTEIN ATLHETICA;ATLHETICA;ALBUMINA;500g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621100656;BCAA POWDER 2:1:1 ATLHETICA;ATLHETICA;BCAA;225g;LIM��O;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621100694;BCAA POWDER 4:1:1 ATLHETICA;ATLHETICA;BCAA;225g;LIM��O;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225529641;BCAA PRO SERIES 120 CAPS - ATLHETICA;ATLHETICA;BCAA;120 caps;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;un
7899621105361;BEST WHEY 900G AMENDOIM - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;AMENDOIM;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105309;BEST WHEY 900G BAUNILHA - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;BAUNILHA;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105316;BEST WHEY 900G BROWNIE CHOCOLATE - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105323;BEST WHEY 900G COOKIES E CREAM - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;COOKIES & CREAM;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;
7899621105330;BEST WHEY 900G DOCE DE LEITE - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;DOCE DE LEITE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105293;BEST WHEY 900G DOUBLE CHOCO - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;CHOCOLATE;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105347;BEST WHEY 900G MARACUJA MOUSSE - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;MARACUJ́;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621105354;BEST WHEY 900G MORANGO - ATLHETICA;ATLHETICA;WHEY PROTEIN;900g;MORANGO;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621100182;BETA HD ATLHETICA;ATLHETICA;PR��-TREINO;180g;GUAR C/ ACA̍;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621102766;CARNITECH BEEF PROTEIN ATLHETICA;ATLHETICA;BEEF PROTEIN;600g;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7899621100632;CHROMIUM PICOLINATE ATLHETICA;ATLHETICA;CHROMIUM;120 caps;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
7898225525698;COMPLETE MULTI VIT ATLHETICA;ATLHETICA;MULTIVITAMINICO;100 tabs;;21069030;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
8;COQUETELEIRA ATLHETICA BLENDER BLACK 4-IN-1 ATLHETICA;ATLHETICA;COQUETELEIRA;;;39233000;Adquirida de Terceiros;Nacional;Valor da Opera̤̣o;UN
