id_produto;cod_ncm;Forma de Aquisicao;Origem da Mercadoria;Tipo de Tributacao;Regra de Tributos;Unidade Comercial
7309;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7310;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7314;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7315;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7316;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7317;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7351;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7352;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7353;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5209;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5210;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5207;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7293;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5204;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5231;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5202;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5215;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7318;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
5213;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7325;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7326;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7321;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7322;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7323;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
7324;62160000;Adquirida de Terceiros;Estrangeira (Adquirida no Mercado Interno);Valor da Operação;PADRAO;UN
